compound_short,compound_full,Formula,Mass,RT,CAS_ID
Lrp6CD2n1,Methylglyoxal,C3 H4 O2,72.021,2.61,78-98-8
Lrp6CD2n2,Glycine,C2 H5 N O2,75.031,8.99,56-40-6
Lrp6CD2n3,Sulfite,H2 O3 S,81.971,0.87,7782-99-2
Lrp6CD2n4,Pyruvate,C3 H4 O3,88.015,1.92,127-17-3
Lrp6CD2n5,Sarcosine,C3 H7 N O2,89.046,9.69,107-97-1
Lrp6CD2n6,Alanine,C3 H7 N O2,89.047,8.58,56-41-7
Lrp6CD2n7,Oxalic Acid,C2 H2 O4,89.994,7.66,144-62-7
Lrp6CD2n8,Lactic Acid,C3 H6 O3,90.031,2.61,79-33-4
Lrp6CD2n9,Acetoacetic Acid,C4 H6 O3,102.032,1.99,541-50-4
Lrp6CD2n10,2-Aminobutyric Acid,C4 H9 N O2,103.062,8.74,1492-24-6
Lrp6CD2n11,3-Aminoisobutyric Acid (BAIBA),C4 H9 N O2,103.062,8.74,144-90-1
Lrp6CD2n12,2-Hydroxybutyric Acid,C4 H8 O3,104.046,2.08,3347-90-8
Lrp6CD2n13,3-Hydroxybutyric Acid,C4 H8 O3,104.046,3.4,300-85-6
Lrp6CD2n14,Serine,C3 H7 N O3,105.041,8.44,56-45-1
Lrp6CD2n15,Hypotaurine,C2 H7 N O2 S,109.018,9.07,300-84-5
Lrp6CD2n16,Uracil,C4 H4 N2 O2,112.025,1.91,66-22-8
Lrp6CD2n17,Thiosulfate,H2 O3 S2,113.943,5.47,14383-50-7
Lrp6CD2n18,"5,6-Dihydrouracil",C4 H6 N2 O2,114.038,2.44,504-07-4
Lrp6CD2n19,Proline,C5 H9 N O2,115.062,9.49,147-85-3
Lrp6CD2n20,Fumaric Acid,C4 H4 O4,116.009,6.96,110-17-8
Lrp6CD2n21,Caproic Acid,C6 H12 O2,116.08,1.51,142-62-1
Lrp6CD2n22,N-Acetylglycine,C4 H7 N O3,117.041,4.96,543-24-8
Lrp6CD2n23,Valine,C5 H11 N O2,117.077,7.57,72-18-4
Lrp6CD2n24,Succinic Acid,C4 H6 O4,118.025,7.78,110-15-6
Lrp6CD2n25,Threonine,C4 H9 N O3,119.057,8.08,72-19-5
Lrp6CD2n26,Taurine,C2 H7 N O3 S,125.013,5.17,107-35-7
Lrp6CD2n27,Pyroglutamic Acid,C5 H7 N O3,129.041,5.64,98-79-3
Lrp6CD2n28,Pipecolinic Acid,C6 H11 N O2,129.074,9.29,3105-95-1
Lrp6CD2n29,Ketoleucine,C6 H10 O3,130.061,1.42,816-66-0
Lrp6CD2n30,N-Acetylalanine,C5 H9 N O3,131.056,4.62,97-69-8
Lrp6CD2n31,trans-4-Hydroxyproline,C5 H9 N O3,131.056,8.03,51-35-4
Lrp6CD2n32,Creatine,C4 H9 N3 O2,131.068,9.69,57-00-1
Lrp6CD2n33,Leucine,C6 H13 N O2,131.093,6.74,61-90-5
Lrp6CD2n34,Isoleucine,C6 H13 N O2,131.093,6.99,73-32-5
Lrp6CD2n35,Oxaloacetic Acid,C4 H4 O5,132.004,9.17,328-42-7
Lrp6CD2n36,Glutaric Acid,C5 H8 O4,132.045,8.32,110-94-1
Lrp6CD2n37,3-Ureidopropionic Acid,C4 H8 N2 O3,132.052,6.38,462-88-4
Lrp6CD2n38,Asparagine,C4 H8 N2 O3,132.052,8.8,70-47-3
Lrp6CD2n39,2-Hydroxy-3-methylpentanoic Acid,C6 H12 O3,132.076,1.64,448-15-3
Lrp6CD2n40,Ornithine,C5 H12 N2 O2,132.088,23.63,70-26-8
Lrp6CD2n41,Aspartic Acid,C4 H7 N O4,133.036,8.5,56-84-8
Lrp6CD2n42,Malic Acid,C4 H6 O5,134.02,7.54,97-67-6
Lrp6CD2n43,Adenine,C5 H5 N5,135.052,3.92,73-24-5
Lrp6CD2n44,Hypoxanthine,C5 H4 N4 O,136.036,3.09,68-94-0
Lrp6CD2n45,Urocanic Acid,C6 H6 N2 O2,138.041,2.73,104-98-3
Lrp6CD2n46,O-Phosphoethanolamine,C2 H8 N O4 P,141.017,14.5,1071-23-4 
Lrp6CD2n47,Caprylic Acid,C8 H16 O2,144.113,1.35,124-07-2
Lrp6CD2n48,2-Oxoglutaric Acid,C5 H6 O5,146.02,6.52,328-50-7
Lrp6CD2n49,Glutamine,C5 H10 N2 O3,146.068,8.94,56-85-9
