Compound_short,Compound_full,Formula,Mass,RT,CAS_ID
Lrp6KOn1,Propiolic Acid,C3 H2 O2,70.003,0.75,471-25-0
Lrp6KOn2,Methylglyoxal,C3 H4 O2,72.021,2.29,78-98-8
Lrp6KOn3,Glycine,C2 H5 N O2,75.031,8.57,56-40-6
Lrp6KOn4,Pyruvate,C3 H4 O3,88.017,0.81,127-17-3
Lrp6KOn5,Alanine,C3 H7 N O2,89.047,8.14,56-41-7
Lrp6KOn6,Sarcosine,C3 H7 N O2,89.047,9.22,107-97-1
Lrp6KOn7,Oxalic Acid,C2 H2 O4,89.995,7.23,144-62-7
Lrp6KOn8,Lactic Acid,C3 H6 O3,90.031,2.27,79-33-4
Lrp6KOn9,2-Aminobutyric Acid,C4 H9 N O2,103.062,7.7,1492-24-6
Lrp6KOn10,3-Aminoisobutyric Acid (BAIBA),C4 H9 N O2,103.062,8.34,144-90-1
Lrp6KOn11,2-Hydroxybutyric Acid,C4 H8 O3,104.046,1.88,3347-90-8
Lrp6KOn12,3-Hydroxybutyric Acid,C4 H8 O3,104.046,2.91,300-85-6
Lrp6KOn13,Serine,C3 H7 N O3,105.041,7.99,56-45-1
Lrp6KOn14,Hypotaurine,C2 H7 N O2 S,109.018,8.57,300-84-5
Lrp6KOn15,Uracil,C4 H4 N2 O2,112.025,2.14,66-22-8
Lrp6KOn16,Thiosulfate,H2 O3 S2,113.943,5.61,14383-50-7
Lrp6KOn17,Proline,C5 H9 N O2,115.062,8.85,147-85-3
Lrp6KOn18,Fumaric Acid,C4 H4 O4,116.01,7.16,110-17-8
Lrp6KOn19,Caproic Acid,C6 H12 O2,116.082,1.45,142-62-1
Lrp6KOn20,Valine,C5 H11 N O2,117.077,7.22,72-18-4
Lrp6KOn21,Succinic Acid,C4 H6 O4,118.025,7.27,110-15-6
Lrp6KOn22,Threonine,C4 H9 N O3,119.056,7.62,72-19-5
Lrp6KOn23,Taurine,C2 H7 N O3 S,125.014,4.65,107-35-7
Lrp6KOn24,Pyroglutamic Acid,C5 H7 N O3,129.041,4.95,98-79-3
Lrp6KOn25,Ketoleucine,C6 H10 O3,130.062,1.24,816-66-0
Lrp6KOn26,N-Acetylalanine,C5 H9 N O3,131.055,3.98,97-69-8
Lrp6KOn27,trans-4-Hydroxyproline,C5 H9 N O3,131.057,8.05,51-35-4
Lrp6KOn28,Creatine,C4 H9 N3 O2,131.068,9.22,57-00-1
Lrp6KOn29,Leucine,C6 H13 N O2,131.093,6.53,61-90-5
Lrp6KOn30,Isoleucine,C6 H13 N O2,131.093,6.75,73-32-5
Lrp6KOn31,Oxaloacetic Acid,C4 H4 O5,132.003,8.77,328-42-7
Lrp6KOn32,3-Ureidopropionic Acid,C4 H8 N2 O3,132.05,5.8,462-88-4
Lrp6KOn33,Glutaric Acid,C5 H8 O4,132.052,8.25,110-94-1
Lrp6KOn34,Asparagine,C4 H8 N2 O3,132.052,8.25,70-47-3
Lrp6KOn35,2-Hydroxy-3-methylpentanoic Acid,C6 H12 O3,132.077,1.52,448-15-3
Lrp6KOn36,Aspartic Acid,C4 H7 N O4,133.036,8.06,56-84-8
Lrp6KOn37,Malic Acid,C4 H6 O5,134.021,7.15,97-67-6
Lrp6KOn38,Hypoxanthine,C5 H4 N4 O,136.037,2.5,68-94-0
Lrp6KOn39,Urocanic Acid,C6 H6 N2 O2,138.038,2.55,104-98-3
Lrp6KOn40,O-Phosphoethanolamine,C2 H8 N O4 P,141.018,14.08,1071-23-4 
Lrp6KOn41,Caprylic Acid,C8 H16 O2,144.113,1.3,124-07-2
Lrp6KOn42,2-Oxoglutaric Acid,C5 H6 O5,146.021,6.03,328-50-7
Lrp6KOn43,Glutamine,C5 H10 N2 O3,146.068,8.5,56-85-9
Lrp6KOn44,Lysine,C6 H14 N2 O2,146.104,22.5,56-87-1
Lrp6KOn45,N-Acetylserine,C5 H9 N O4,147.052,3.06,16354-58-8
Lrp6KOn46,Glutamic Acid,C5 H9 N O4,147.052,8.33,56-86-0
Lrp6KOn47,Methionine,C5 H11 N O2 S,149.05,6.45,63-68-3
Lrp6KOn48,Guanine,C5 H5 N5 O,151.045,6.46,73-40-5
Lrp6KOn49,Xanthine,C5 H4 N4 O2,152.032,1.82,69-89-6
Lrp6KOn50,3-Sulfinoalanine,C3 H7 N O4 S,153.011,6.59,1115-65-7
Lrp6KOn51,Histidine,C6 H9 N3 O2,155.068,10.24,71-00-1
Lrp6KOn52,Orotic Acid,C5 H4 N2 O4,156.016,2.12,65-86-1
